Duration (s),Direction
30.0,Forward
30.03333333333333,Forward
30.066666666666666,Forward
30.099999999999998,Forward
30.133333333333333,Forward
30.166666666666668,Forward
30.2,Looking Left
30.233333333333334,Looking Left
30.266666666666666,Looking Left
30.3,Looking Left
30.333333333333332,Looking Left
30.366666666666667,Looking Left
30.4,Looking Left
30.433333333333334,Looking Left
30.466666666666665,Looking Left
30.5,Looking Left
30.53333333333333,Looking Left
30.566666666666666,Looking Left
30.599999999999998,Looking Left
30.633333333333333,Looking Left
30.666666666666668,Looking Left
30.7,Looking Left
30.733333333333334,Looking Left
30.766666666666666,Looking Left
30.8,Forward
30.833333333333332,Forward
30.866666666666667,Forward
30.9,Forward
30.933333333333334,Forward
30.966666666666665,Forward
31.0,Forward
31.03333333333333,Forward
31.066666666666666,Forward
31.099999999999998,Forward
31.133333333333333,Looking Up
31.166666666666668,Looking Up
31.2,Looking Up
31.233333333333334,Looking Up
31.266666666666666,Looking Up
31.3,Looking Up
31.333333333333332,Looking Up
31.366666666666667,Looking Right
31.4,Looking Right
31.433333333333334,Looking Right
31.466666666666665,Looking Right
31.5,Looking Right
31.53333333333333,Looking Right
31.566666666666666,Looking Right
31.599999999999998,Looking Right
31.633333333333333,Looking Right
31.666666666666668,Looking Right
31.7,Looking Right
31.733333333333334,Looking Right
31.766666666666666,Looking Right
31.8,Forward
31.833333333333332,Forward
31.866666666666667,Forward
31.9,Forward
31.933333333333334,Forward
31.966666666666665,Forward
32.0,Forward
32.03333333333333,Forward
32.06666666666666,Forward
32.1,Forward
32.13333333333333,Forward
32.166666666666664,Forward
32.2,Forward
32.233333333333334,Forward
32.266666666666666,Forward
32.3,Forward
32.333333333333336,Forward
32.36666666666667,Forward
32.4,Forward
32.43333333333333,Forward
32.46666666666667,Looking Left
32.5,Forward
32.53333333333333,Looking Left
32.56666666666666,Forward
32.6,Forward
32.63333333333333,Forward
32.666666666666664,Forward
32.7,Forward
32.733333333333334,Forward
32.766666666666666,Forward
32.8,Forward
32.833333333333336,Forward
32.86666666666667,Forward
32.9,Forward
32.93333333333333,Forward
32.96666666666667,Forward
33.0,Forward
33.03333333333333,Looking Up
33.06666666666666,Looking Up
33.1,Looking Up
33.13333333333333,Looking Up
33.166666666666664,Looking Up
33.2,Looking Up
33.233333333333334,Looking Up
33.266666666666666,Looking Up
33.3,Looking Up
33.333333333333336,Looking Up
33.36666666666667,Looking Up
33.4,Looking Up
33.43333333333333,Looking Up
33.46666666666667,Looking Up
33.5,Looking Up
33.53333333333333,Looking Up
33.56666666666666,Looking Up
33.6,Looking Up
33.63333333333333,Looking Up
33.666666666666664,Looking Up
33.7,Looking Up
33.733333333333334,Looking Up
33.766666666666666,Looking Up
33.8,Looking Up
33.833333333333336,Looking Up
33.86666666666667,Looking Up
33.9,Looking Up
33.93333333333333,Looking Up
33.96666666666667,Looking Up
34.0,Looking Up
34.03333333333333,Looking Up
34.06666666666666,Looking Up
34.1,Looking Up
34.13333333333333,Looking Up
34.166666666666664,Looking Up
34.2,Looking Up
34.233333333333334,Looking Up
34.266666666666666,Looking Up
34.3,Looking Up
34.333333333333336,Looking Up
34.36666666666667,Looking Up
34.4,Looking Up
34.43333333333333,Looking Up
34.46666666666667,Looking Up
34.5,Looking Up
34.53333333333333,Looking Up
34.56666666666666,Looking Up
34.6,Looking Up
34.63333333333333,Looking Up
34.666666666666664,Looking Up
34.7,Looking Up
34.733333333333334,Looking Up
34.766666666666666,Looking Up
34.8,Looking Up
34.833333333333336,Looking Up
34.86666666666667,Looking Up
34.9,Looking Up
34.93333333333333,Looking Up
34.96666666666667,Looking Up
35.0,Forward
35.03333333333333,Forward
35.06666666666666,Forward
35.1,Looking Up
35.13333333333333,Forward
35.166666666666664,Looking Up
35.2,Looking Up
35.233333333333334,Looking Up
35.266666666666666,Looking Up
35.3,Forward
35.333333333333336,Forward
35.36666666666667,Forward
35.4,Forward
35.43333333333333,Forward
35.46666666666667,Forward
35.5,Looking Up
35.53333333333333,Looking Up
35.56666666666666,Looking Up
35.6,Looking Up
35.63333333333333,Looking Up
35.666666666666664,Looking Up
35.7,Looking Up
35.733333333333334,Looking Up
35.766666666666666,Looking Up
35.8,Looking Up
35.833333333333336,Looking Up
35.86666666666667,Looking Up
35.9,Looking Up
35.93333333333333,Looking Up
35.96666666666667,Looking Up
36.0,Looking Up
36.03333333333333,Looking Up
36.06666666666666,Looking Up
36.1,Looking Up
36.13333333333333,Looking Up
36.166666666666664,Looking Up
36.2,Looking Up
36.233333333333334,Looking Up
36.266666666666666,Looking Up
36.3,Looking Up
36.333333333333336,Looking Up
36.36666666666667,Forward
36.4,Forward
36.43333333333333,Forward
36.46666666666667,Forward
36.5,Looking Up
36.53333333333333,Forward
36.56666666666666,Forward
36.6,Forward
36.63333333333333,Forward
36.666666666666664,Forward
36.7,Forward
36.733333333333334,Looking Up
36.766666666666666,Looking Up
36.8,Forward
